URL,Version,Status,OIDs,Name,Title,Description,Used
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/mii-vs-icu-score-loinc,ValueSet/mii-vs-icu-score-rass,ValueSet/mii-vs-icu-component-gcs-eyes,ValueSet/mii-vs-icu-code-observation-beatmung-loinc,ValueSet/mii-vs-icu-code-oservation-pupillenform-loinc,ValueSet/mii-vs-icu-component-gcs-verbal,ValueSet/mii-vs-icu-component-gcs-motor,ValueSet/observation-codes,ValueSet/mii-vs-icu-code-monitoring-und-vitaldaten-loinc,ValueSet/mii-vs-icu-code-observation-pupillenlichtreaktion,ValueSet/mii-vs-icu-code-observation-bilanzen-loinc,ValueSet/mii-vs-icu-code-observation-extrakorporale-verfahren-loinc,ValueSet/vs-mii-icu-code-monitoring-und-vitaldaten-loinc"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/mii-vs-icu-score-snomed,ValueSet/device-type,ValueSet/mii-vs-icu-body-site-observation-blutdruck,ValueSet/mii-vs-icu-body-site-observation-beatmung,ValueSet/mii-vs-icu-delirium-interpretation,ValueSet/mii-vs-icu-code-observation-pupillensymmetrie,ValueSet/procedure-followup,ValueSet/mii-vs-prozedur-opskategorien-snomedct,ValueSet/mii-vs-icu-code-observation-pupillengroesse,ValueSet/device-action,ValueSet/mii-vs-icu-code-observation-beatmung-snomed,ValueSet/mii-vs-icu-method-observation-blutdruck,ValueSet/mii-vs-icu-devicemetric-extrakorporale-verfahren,ValueSet/mii-vs-icu-body-site-observation-extrakorporale-verfahren,ValueSet/body-site,ValueSet/mii-vs-icu-cam-icu-result,ValueSet/mii-vs-icu-code-observation-extrakorporale-verfahren-snomed,ValueSet/procedure-code,ValueSet/mii-vs-icu-category-procedure-beatmung-snomed,ValueSet/VitalSignDE-Koerpergroesse-SNOMED-CT,ValueSet/device-kind,ValueSet/VitalSignDE-Koerpergewicht-SNOMED-CT,ValueSet/performer-role,ValueSet/referencerange-appliesto,ValueSet/vs-mii-icu-bodysite-observation-monitoring-und-vitaldaten,ValueSet/mii-vs-icu-code-procedure-beatmung-snomed,ValueSet/mii-vs-icu-bodysite-observation-pupillenbefund,ValueSet/procedure-outcome,ValueSet/procedure-reason,ValueSet/procedure-category,ValueSet/mii-vs-icu-score-category,ValueSet/VitalSignDE-Atemfrequenz-SNOMED-CT,ValueSet/condition-code,ValueSet/mii-vs-icu-code-extrakorporale-verfahren,ValueSet/mii-vs-icu-code-observation-bilanzen-snomed,ValueSet/vs-mii-icu-code-monitoring-und-vitaldaten-snomed,ValueSet/mii-vs-icu-present-absent,ValueSet/procedure-not-performed-reason,ValueSet/mii-vs-icu-code-monitoring-und-vitaldaten-snomed,ValueSet/observation-methods,ValueSet/VitalSignDE-Kopfumfang-SNOMED-CT,ValueSet/mii-vs-icu-body-site-observation-monitoring-und-vitaldaten"
http://terminology.hl7.org/CodeSystem/observation-category,2.0.0,active,"2.16.840.1.113883.4.642.1.1125",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","ValueSet/mii-vs-icu-category-observation-bilanzen-hl7,ValueSet/observation-category"
http://unitsofmeasure.org,3.0.1,active,,UCUM,Unified Code for Units of Measure (UCUM),"The Unified Code for Units of Measure (UCUM) is a code system intended to include all units of measures being contemporarily used in international science, engineering, and business. The purpose is to facilitate unambiguous electronic communication of quantities together with their units. The focus is on electronic communication, as opposed to communication between humans. A typical application of The Unified Code for Units of Measure are electronic data interchange (EDI) protocols, but there is nothing that prevents it from being used in other types of machine communication.","ValueSet/VitalSignDE-Body-Weigth-UCUM,ValueSet/mii-vs-icu-unit-equivalent-ucum-breaths-per-minute,ValueSet/mii-vs-icu-unit-equivalent-ucum-milliliter,ValueSet/mii-vs-icu-unit-equivalent-ucum-l-per-minute,ValueSet/mii-vs-icu-unit-equivalent-percent-1,ValueSet/mii-vs-icu-unit-equivalent-ucum-beats-per-minute,ValueSet/UcumVitalsCommonDE,ValueSet/mii-vs-icu-unit-equivalent-ucum-dyn-s-cm5-m2,ValueSet/mii-vs-icu-unit-equivalent-ucum-l-per-minute-and-squaremeter,ValueSet/VitalSignDE-Body-Length-UCUM"
urn:iso:std:iso:11073:10101,20250520,active,"2.16.840.1.113883.6.24",Mdc,ISO/IEEE 11073 Medical Device Communication Nomenclature,"The nomenclature relates primarily to vital signs monitoring, but also includes semantics of other medical devices that are commonly used in acute care settings. There are multiple coding partitions each of which has a systematic name consisting of a set of base concepts and differentiating criteria.","ValueSet/mii-vs-icu-code-observation-beatmung-iso11073,ValueSet/mii-vs-icu-code-observation-bilanzen-iso11073,ValueSet/devicemetric-type,ValueSet/mii-vs-icu-code-monitoring-und-vitaldaten-iso11073,ValueSet/vs-mii-icu-code-monitoring-und-vitaldaten-iso11073"
