id	layer	check	verdict	subject	evidence	autofix	action
C1-e4bb43	conservation	C1	IDENTISCH	149 source artefacts	all present in fsh-generated, matched by id or canonical url (source: fsh-generated/resources)	-	-
C2-9a25ae	conservation	C2	IDENTISCH	output/de (152 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C2-ee4584	conservation	C2	IDENTISCH	output/en (152 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C3-41054c	conservation	C3	IDENTISCH	index	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-b365fc	conservation	C3	IDENTISCH	beschreibungmodul.page.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-acec2c	conservation	C3	IDENTISCH	kontextimgesamtprojektbezgezuanderenmodulen.page.md	migrated -> input/pagecontent/implementer-guidance.md (input/pagecontent/implementer-guidance.md)	-	-
C3-c2fdac	conservation	C3	IDENTISCH	referenzen.page.md	migrated -> input/pagecontent/implementer-guidance.md (input/pagecontent/implementer-guidance.md)	-	-
C3-86ffe2	conservation	C3	IDENTISCH	release-notes.page.md	migrated -> input/pagecontent/changes.md (input/pagecontent/changes.md)	-	-
C3-0be812	conservation	C3	IDENTISCH	anwendungsflleinformationsmodell	migrated -> input/pagecontent/logical-models.md (input/pagecontent/logical-models.md)	-	-
C3-3aaf73	conservation	C3	IDENTISCH	anwendungsflleinformationsmodell-beschreibungvonszenarienfrdieanwendungdermodule.page.md	migrated -> input/pagecontent/guidance.md (input/pagecontent/guidance.md)	-	-
C3-5cc11e	conservation	C3	IDENTISCH	anwendungsflleinformationsmodell-datenstzeinkl.beschreibungen.page.md	migrated -> input/pagecontent/logical-models.md (input/pagecontent/logical-models.md)	-	-
C3-26e024	conservation	C3	IDENTISCH	anwendungsflleinformationsmodell-uml.page.md	migrated -> input/pagecontent/uml-diagrams.md (input/pagecontent/uml-diagrams.md)	-	-
C3-5b213f	conservation	C3	IDENTISCH	technischeimplementierung	migrated -> input/pagecontent/implementer-guidance.md (input/pagecontent/implementer-guidance.md)	-	-
C3-b2d45d	conservation	C3	IDENTISCH	technischeimplementierung-kompatibilit-t.page.md	migrated -> input/pagecontent/implementer-guidance.md (input/pagecontent/implementer-guidance.md)	-	-
C3-71cd47	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-d1c158	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-ger-teinformationen.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-30fb33	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-0bafde	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-extrakorporaleverfahrenprocedure-duplicate-2.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-extrakorporales-verfahren-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-extrakorporales-verfahren-intro.md)	-	-
C3-b82f50	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-eingestellteundgemesseneparameterdevicemetric.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-dm-eingest-gem-parameter-extrakorporale-verfahren-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-dm-eingest-gem-parameter-extrakorporale-verfahren-intro.md)	-	-
C3-e137cc	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation	retired: page carried ONLY the generated profile rendering (0 chars prose); artifact page is regenerated by the IG Publisher - nothing to migrate	-	-
C3-4c4a3f	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-blutflussdurchcardiovasculresgertobservation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-ect-blutfluss-cardiovasculaeres-geraet-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-ect-blutfluss-cardiovasculaeres-geraet-intro.md)	-	-
C3-30053c	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-ionisierteskalziumausnierenersatzverfahrenobservation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-ect-ionisiertes-kalzium-nierenersatzverfahren-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-ect-ionisiertes-kalzium-nierenersatzverfahren-intro.md)	-	-
C3-ef5fb3	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-gasfluss-observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-ect-gasfluss-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-ect-gasfluss-intro.md)	-	-
C3-61be58	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-dauerhmodialysesitzungobservation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-ect-dauer-haemodialysesitzung-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-ect-dauer-haemodialysesitzung-intro.md)	-	-
C3-c4c543	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-hmodialyseblutflussobservation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-ect-haemodialyse-blutfluss-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-ect-haemodialyse-blutfluss-intro.md)	-	-
C3-e5f5c1	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-substituatflussobservation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-ect-substituatfluss-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-ect-substituatfluss-intro.md)	-	-
C3-3e2588	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-substituatvolumenobservation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-ect-substituatvolumen-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-ect-substituatvolumen-intro.md)	-	-
C3-d8131e	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-dauer-extrakorporaler-gasaustausch-observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-ect-dauer-extrakorporaler-gasaustausch-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-ect-dauer-extrakorporaler-gasaustausch-intro.md)	-	-
C3-4ef13d	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-blutflussextrakorporalergasaustauschobservation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-ect-blutfluss-extrakorporaler-gasaustausch-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-ect-blutfluss-extrakorporaler-gasaustausch-intro.md)	-	-
C3-740c40	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-blutflussindexextrakorporalergasaustauschobservation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-ect-blutflussindex-extrakorporaler-gasaustausch-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-ect-blutflussindex-extrakorporaler-gasaustausch-intro.md)	-	-
C3-791ec9	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-venserdruckobservation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-ect-venoeser-druck-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-ect-venoeser-druck-intro.md)	-	-
C3-93e78b	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-parametervonextrakorporalenverfahren-parametervonextrakorporalenverfahrenobservation-arteriellerdruckobservation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-ect-arterieller-druck-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-ect-arterieller-druck-intro.md)	-	-
C3-0c4763	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-beatmungswerte	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-2abf89	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-beatmungswerte-beatmungprocedure.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-beatmung-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-beatmung-intro.md)	-	-
C3-7c1fb1	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-beatmungswerte-eingestellteundgemesseneparameterdevicemetric-duplicate-2.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-icu-dm-eingestellte-gemessene-parameter-beatmung-intro.md (input/intro-notes/StructureDefinition-mii-pr-icu-dm-eingestellte-gemessene-parameter-beatmung-intro.md)	-	-
C3-77d561	conservation	C3	IDENTISCH	technischeimplementierung-fhir-profile-beatmungswerte-parametervonbeatmungobservation	retired: page carried ONLY the generated profile rendering (0 chars prose); artifact page is regenerated by the IG Publisher - nothing to migrate	-	-
